osc,event,argon,carbon_dioxide,methane,methane,di,nitrogen,temperature,pressure,vout,frequency,period,calibration_period,iout,r,circumstance,loss,excluding_loss,coil_efficiency
0,100VAC test,0,0,0,0,0,0,0,0,124.7,735.7,0.019,0,4,1.2,,0,0,0.00%
1,Ar Ignition (연계 후),29,0,0,0,0,0,28,20,355,800.8,1.4,1.4,6.5,33.1,,0,1.35,96.60%
2,Ar 대기압,29,0,0,0,0,0,236,766,336.9,234.7,2.4,2.4,14.9,10.8,,0.3,2.15,89.50%
3,스팀 투입,29,0,0,0,60.3,0,305,767,336.8,234.4,2.5,2.5,15.3,10.7,,0.3,2.23,89.30%
4,,29,10,0,0,60.3,0,473,767,432.3,340.4,12.5,12.5,39.7,7.9,,1.8,10.7,85.60%
5,"Add Ar, MFC 30LPM 사용",29+6,10,0,0,60.3,0,532,768,408.2,227.3,11.2,11.2,37.6,7.9,,1.6,9.59,85.60%
6,,29+6,10,0,25,60.3,0,651,783,409,228.1,10,10,33.5,8.9,,1.3,8.72,87.20%
7,,29+6,20,0,25,60.3,0,680,782,481,687,18.7,18.7,44.5,9.4,,2.3,16.44,87.90%
8,,29+6,20,0,46,60.3,0,662,788,482,687,18.8,18.8,44.7,9.4,,2.3,16.52,87.90%
9,,29+6,20,0,46,60.3,11.3,655,783,481,688,18.6,18.6,44.5,9.4,,2.3,16.34,87.90%
10,AC전압 365V -> 400V,29+6,20,0,46,60.3,11.3,622,785,525.2,687,21.3,21.3,45.4,10.3,,2.3,18.95,89.00%
11,,29+6,20,1,46,60.3,11.3,693,787,525.9,687.8,23.3,23.3,51.2,8.9,,3,20.31,87.20%
12,,29+6,20,2,46,60.3,11.3,704,788,525.9,687,24,24,53.7,8.3,,3.3,20.71,86.30%
13,,29+6,20,3,46,60.3,11.3,698,789,526.8,687.2,24.7,24.7,56.7,7.7,,3.7,21.04,85.20%
14,,29+6,20,4,46,60.3,11.3,696,789,526.5,687.2,24.9,24.9,59.1,7.1,,4,20.92,84.00%
15,MFC 켈리브레이션 적용,29+6,20,4,46,60.3,11.3,718,791,514.9,684.9,26.5,26.5,59.4,7.5,10:00AM,4,22.48,84.80%
16,4분 후,29+6,20,4,46,60.3,11.3,704,791,517,685,26.7,26.7,59.3,7.6,,4,22.69,85.00%
17,6분 후,29+6,20,4,46,60.3,11.3,709,791,518,685,26.7,26.7,59.5,7.5,ICM 32000,4,22.66,84.90%
18,8분 후,29+6,20,4,46,60.3,11.3,706,791,518,684,26.8,26.8,59.1,7.7,GC-1Point,4,22.82,85.10%
